year,coal_twh,hydro_twh,ng_twh,ng_twh2,nuclear_twh,renewable_twh,all_twh,MMT_co2,co2_inten
1987,1463.781289,252.856093,272.620803,74322.10223,455.270382,0.797126,2575.287667,1680.237,1437.991722
1988,1540.652774,226.100803,252.800704,63908.19594,526.973047,0.945951,2707.411178,1757.531,1430.738838
1989,1583.779139,271.976936,352.628866,124347.1171,529.354717,29.599312,2967.146087,1825.6,1356.058071
1990,1594.011479,292.865846,372.765154,138953.86,576.861678,35.677576,3037.827337,1831.049,1328.459964
1991,1590.622748,288.994189,381.553017,145582.7048,612.565087,37.148074,3073.798885,1829.607,1311.879527
1992,1621.206039,253.088003,404.074372,163276.0981,618.776263,39.815825,3083.882204,1843.45,1317.483461
1993,1690.070232,280.494008,414.926798,172164.2477,610.291214,41.091686,3197.191096,1919.112,1322.949652
1994,1690.693864,260.125733,460.218682,211801.2353,640.439832,41.871095,3247.522388,1943.879,1319.254744
1995,1709.426468,310.832748,496.057945,246073.4848,673.402123,40.182156,3353.487362,1960.05,1288.196356
1996,1795.195593,347.162063,455.055576,207075.5772,674.728546,40.555584,3444.187621,2033.261,1301.121698
1997,1845.015736,356.453295,479.39867,229823.0848,628.644171,40.747644,3492.172283,2101.401,1326.248372
1998,1873.51569,323.335661,531.257104,282234.1106,673.702104,39.866553,3620.295498,2191.79,1334.340018
1999,1881.087224,319.536029,556.396127,309576.6501,728.254124,42.023814,3694.80981,2204.426,1314.967523
2000,1966.264596,275.572597,601.038159,361246.8686,753.89294,43.681502,3802.105043,2310.2,1339.174153
2001,1903.955942,216.961045,639.129119,408486.0308,768.826308,42.479991,3736.643649,2272.684,1340.506617
2002,1933.130354,264.328831,691.005744,477488.9382,780.064087,49.574148,3858.452246,2288.073,1306.978179
2003,1973.736752,275.806323,649.907539,422379.8092,763.732695,49.250563,3883.185204,2319.234,1316.339929
2004,1978.300549,268.417308,710.100017,504242.0341,788.528387,52.835779,3970.555264,2350.386,1304.666577
2005,2012.873046,270.321255,760.960254,579060.5082,781.986365,57.21726,4055.42275,2415.605,1312.808491
2006,1990.511135,289.246416,816.44077,666575.5309,787.218636,65.858939,4064.702228,2358.357,1278.769892
2007,2016.455584,247.509974,896.589791,803873.2533,806.424753,74.075744,4156.744724,2424.968,1285.772841
2008,1985.801247,254.831385,882.980599,779654.7382,806.208435,93.527268,4119.38776,2372.9,1269.574972
2009,1755.904253,273.445094,920.978681,848201.7309,798.854585,110.827449,3950.330927,2157.901,1203.953262
2010,1847.290279,260.203069,987.697234,975545.8261,806.968301,133.036588,4125.0599,2270.327,1213.024981
2011,1733.430005,319.354904,1013.688929,1027565.245,790.204367,159.443362,4100.140927,2169.731,1166.322624
2012,1514.042945,276.240223,1225.894175,1502816.528,769.331249,182.947507,4047.76526,2034.367,1107.708718
2013,1581.114716,268.565383,1124.83556,1265255.037,789.016473,216.902902,4065.964068,2049.895,1111.167857
2014,1581.71035,259.366622,1126.608958,1269247.744,797.165982,241.686038,4093.606006,2049.902,1103.668502
2015,1352.398197,249.080085,1333.48211,1778174.538,797.177877,257.539958,4077.600939,1912.584,1033.778243
2016,1240.108382,265.829332,1380.294635,1905213.279,805.327221,304.130052,4079.07876,1820.615,983.7111995